title,description,publisheddate,section,site
Swatch sues Malaysia over Pride watch seizures,"The move comes after officials impounded 172 watches worth Â£10,700 from its rainbow-coloured Pride collection.",17 July,News,Asia
Jocelyn Chia: US comedian calls Malaysia's reaction to MH370 joke 'ridiculous',"Jocelyn Chia tells the BBC she is not making fun of victims, after Malaysia asked Interpol to locate her.",14 June,News,Asia
MH370 joke: Malaysia asks Interpol to track down comedian,Performer Jocelyn Chia's quip about the missing Malaysian Airlines plane created uproar in Malaysia.,13 June,News,Asia
"Your Place or Mine with Shaun Keaveny: Craig Parkinson: Penang, Malaysia","Craig tempts Shaun with incredible food and culture, but what about the Snake Temple?",7 June,Programmes,BBC Radio 4
Malaysia detains Chinese ship suspected of looting British WW2 wrecks,Malaysia says it has detained a Chinese vessel suspected of raiding two British maritime war graves.,30 May,News,Asia
Malaysia media guide,"An overview of the media in Malaysia, including links to broadcasters and newspapers.",21 October 2011,News,Asia-Pacific
Malaysia country profile,"Provides an overview of Malaysia, including key dates and facts about this South East Asian state.",21 October 2011,News,Asia
Malaysia ends mandatory death penalty for serious crimes,"More than 1,300 prisoners on death row can soon seek to have their sentence reviewed.",3 April,News,Asia
Muhyiddin Yassin: Ex-Malaysia PM charged with corruption over Covid spending,Muhyiddin Yassin is charged with corruption over Covid spending ahead of crucial state elections.,10 March,News,Asia
Ex-Goldman Sachs Malaysia boss gets 10 years for 1MDB scheme,The bank's ex-Malaysia head was found guilty last year in one of the world's biggest financial scandals.,9 March,News,Business
Malaysia landslide: At least 21 campers dead and more missing,Children are among the at least 21 people killed after a landslide struck a holiday campsite.,16 December 2022,News,Asia
Malaysia authorities searching for survivors after deadly landslide,Authorities say some people have died after a landslide in Selangor state.,16 December 2022,News,Asia
Tamil Nadu: Indian man's search for father's lost grave ends in Malaysia,The man from Tamil Nadu was six months old when his father died 55 years ago.,13 December 2022,News,India
Anwar Ibrahim: The man who fulfilled his goal to lead Malaysia,"After a decades-long quest to become premier, Anwar Ibrahim has finally risen to the top job.",6 January 2012,News,Asia
Malaysia election: Why isn't there a government yet?,"Two days after the vote, the country's king has had to extend a deadline to form a government.",21 November 2022,News,Asia
Malaysia elects first ever hung parliament,The country is left in political limbo after no coalition gains enough seats to form a government.,20 November 2022,News,Asia
Why is Malaysia deporting Myanmar asylum seekers?,The hardline approach to asylum seekers contrasts with its stand against Myanmar's military regime.,25 October 2022,News,Asia
MotoGP: Francesco Bagnaia wins in Malaysia to move nearer first world title,Ducati rider Francesco Bagnaia wins the Malaysian Grand Prix to move closer to his maiden MotoGP world title.,23 October 2022,Sport,Motorsport
Mahathir Mohamad: Former Malaysia PM to run for office aged 97,"The veteran politician first entered parliament in 1964, and has been prime minister twice.",11 October 2022,News,Asia
Anwar Ibrahim: Honeymoon as Malaysian PM will be brutally short,He finally got his dream job - but Anwar Ibrahim faces a divided country and a weak economy.,3 December 2022,News,Asia
Queen Elizabeth II: What her death means to Malaysia,Tributes are paid to Queen Elizabeth amid calls for the Commonwealth to be reformed for a new age.,14 September 2022,News,Asia
Anwar Ibrahim sworn in as Malaysian PM after post-election deadlock,"After a decades-long quest to become prime minister, Mr Anwar has finally risen to the top job.",24 November 2022,News,Asia
Najib Razak: The verdict that sent Malaysia's untouchable ex-PM to prison,The decision to jail Malaysia's Najib Razak has revived faith in the country's discredited courts.,27 August 2022,News,Asia
Najib Razak: Malaysia's ex-PM starts jail term after final appeal fails,Najib earlier denied charges of appropriating millions of dollars from a state-owned wealth fund.,23 August 2022,News,Asia
Commonwealth Games: England beat Malaysia to win women's triple lawn bowls gold,"Watch as Jamie-Lea Winch, Natalie Chestney and Sian Honnor beat Malaysia 17-9 to win gold in the women's triples lawn bowls final on day eight of the 2022 Commonwealth Games in Birmingham.",5 August 2022,Sport,Commonwealth Games
Chinese rocket debris falls back to Earth over Malaysia,Video from social media is thought to show debris from China's space rocket falling to Earth over Malaysia.,31 July 2022,News,Science & Environment
Fat Leonard: Malaysian criminal in US Navy scandal recaptured after jail break,The mastermind of a US navy scam had been on the run in Cuba and Mexico since escaping house arrest.,22 September 2022,News,US & Canada
Fat Leonard: Malaysian businessman linked to US Navy scandal escapes,Leonard Francis is at the heart of the worst corruption scandal to hit the US Navy in modern times.,6 September 2022,News,US & Canada
Rosmah Mansor: Wife of ex-Malaysian PM Najib gets 10 years jail for bribery,"She is known for her lavish tastes, including 272 Hermes bags that were found at the couple's residence.",1 September 2022,News,Asia
Mahathir Mohamad: The man who dominated Malaysian politics,"Two-time premier Mr Mahathir continues to be an influential figure in the country, although his legacy has been mixed.",8 May 2018,News,Asia
"Malaysia: Boy, 14, believed dead after diving trip",His British father and a French woman are rescued by authorities after two-and-a-half day ordeal.,9 April 2022,News,UK
World Business Report: 1MDB: Ex-Goldman Malaysia boss convicted,Roger Ng was found guilty by a court in the US,9 April 2022,Programmes,BBC World Service
1MDB scandal: Ex-Goldman Malaysia boss found guilty,Roger Ng had fought the charges that he played a role in the massive 1MDB corruption scheme.,8 April 2022,News,Business
World Business Report: 1MDB: Ex-Goldman Malaysia boss convicted,Roger Ng was found guilty by a court in the US,8 April 2022,Programmes,BBC World Service
British man and son missing after Malaysia diving trip,Malaysian authorities resume a search for three people who went missing during a diving trip.,7 April 2022,News,UK
All England Badminton Championships: Malaysia's Lee Zii Jia records 372km/h backhand,Watch as Lee Zii Jia of Malaysia records a speed of 372km/h on his backhand point against Lakshya Sen of India in the All England Badminton Championships.,21 March 2022,Sport,Badminton
Commonwealth Games Women's Qualifier: Scotland beat Malaysia by 31 runs,Scotland recover from their opening defeat to beat Malaysia by 31 runs in Commonwealth Games qualifying.,19 January 2022,Sport,Cricket
Malaysia hit by the worst floods in decades,At least 14 people have died and tens of thousands evacuated their homes after torrential rain.,21 December 2021,News,Asia
Malaysia hit by the worst floods in decades,At least 14 people have died and tens of thousands evacuated their homes after torrential rain.,21 December 2021,News,Asia
Malaysia: Death toll rises after massive floods,At least 14 are dead and tens of thousands are displaced by some of the worst floods in decades.,21 December 2021,News,Asia
Anger as Covid-ravaged Malaysia lifts pandemic measures,"It comes as hospitals are overwhelmed, with pictures showing patients sharing oxygen cylinders.",28 July 2021,News,Asia
Bitcoin mining machines steamrolled by Malaysia police,"Officers had seized more than 1,000 Bitcoin mining units allegedly powered by stolen electricity.",20 July 2021,News,Business
Malaysia deports French conspiracy theorist wanted for abduction,French conspiracy theorist RÃ©my Daillet-Wiedemann is wanted over the kidnapping of a child in April.,13 June 2021,News,Europe
South China Sea dispute: Malaysia accuses China of breaching airspace,Fighters jets were scrambled when the Chinese military planes were detected over disputed waters.,2 June 2021,News,Asia
Ireland hockey: Women's pre-Olympics training camp in Malaysia in last-minute cancellation,The Ireland women team's training camp in Malaysia is cancelled at the last minute amid concerns over Covid-19 and quarantine issues.,9 April 2021,Sport,Hockey
Ireland hockey: Ulster trio miss out on Malaysia tour,"Ayeisha McFerran, Bethany Barr and Megan Frazer are absentees from Ireland's pre-Olympics training camp in Malaysia.",8 April 2021,Sport,Hockey
Malaysia High Court rules Christians can use 'Allah',The issue of non-Muslims using the word to refer to God had previously sparked tensions and violence.,11 March 2021,News,Asia
Malaysia deports Myanmar nationals despite court order,Human rights groups have raised concerns about their safety in Myanmar after the military coup.,24 February 2021,News,Asia
Malaysiakini: The upstart that changed Malaysia's media landscape,Malaysiakini faces a hefty fine for carrying readers' comments deemed critical of the judiciary.,19 February 2021,News,Asia
Scoff the Ball: A Taste of Malaysia in Scotland,Tam Cowan speaks to Julie Lin about her traditional Malaysian street-food restaurant.,21 January 2021,Programmes,BBC Radio Scotland
MH370: Could missing Malaysian Airlines plane finally be found?,A British engineer believes he may help solve one of the world's greatest aviation mysteries.,3 December 2021,News,Business
Malaysia declares Covid state of emergency amid political challenges,The king declares an emergency that critics say will allow the government to dodge political challenges.,12 January 2021,News,Asia
"Covid-19: Couple holds 10,000 people drive-thru wedding in Malaysia",It took three hours for all guests to exchange a wave and smile with the newly-weds in Malaysia.,21 December 2020,News,Asia
Malaysian transgender woman Nur Sajat: 'I had to run away',Transgender woman Nur Sajat fled Malaysia after being charged with insulting Islam.,19 November 2021,News,Asia
"'I had to run away', says Malaysian transgender woman",Nur Sajat says she was assaulted in custody in Malaysia after being charged with insulting Islam,19 November 2021,News,Asia
Gareth Huntley: Backpacker's Malaysia death 'mysterious',Gareth Huntley's family say not knowing the cause of his death has made losing him even harder.,8 October 2020,News,Leeds & West Yorkshire
Philips sells Suffolk factory to Malaysia's Guan Chong Berhad,"Guan Chong Berhad says the acquisition of the Suffolk site provides a ""great opportunity"".",29 September 2020,News,Suffolk
"Go Jetters: Series 3: Funky Fireflies, Selangor River, Malaysia",A trip to see fireflies becomes a rescue when Xuli and Glitch get stuck in a swamp.,7 September 2020,Programmes,CBeebies
NÃ³ra Quoirin: Malaysia opens inquest into death of London teenager,The 15-year-old vanished from her room during a family holiday last year at a Malaysian resort.,24 August 2020,News,Asia
British and Malaysian men jailed in Somalia for terror offences,A military court convicts Darren Anthony Byrnes and a Malaysian man of belonging to al-Shabab.,24 September 2021,News,Africa
Samantha Jones avoids death for husband's Malaysia murder,Samantha Jones admits killing her husband but only after years of abuse.,3 August 2020,News,Somerset
Najib Razak: Malaysia's former PM and his downfall over alleged corruption,The former PM promised to boost Malaysia's economy but has been found guilty of corruption.,1 May 2013,News,Asia
Newsday: Najib Razak â former Malaysia PM â handed guilty verdict,"Live news, business and sport from around the world.",28 July 2020,Programmes,BBC World Service
Malaysia arrests Bangladeshi migrant who criticised government on TV,The Bangladeshi man criticised the treatment of undocumented workers during the Covid-19 pandemic.,25 July 2020,News,Asia
Goldman Sachs settles 1MDB scandal with Malaysia for $3.9bn,The US bank will make a cash payment to the Malaysian government as part of the deal.,24 July 2020,News,Business
Malaysia detains 270 Rohingya refugees who had drifted at sea for weeks,"Rohingya refugees had been stranded offshore for weeks, unable to dock because of Covid-19 lockdown.",9 June 2020,News,Asia
MotoGP: Malaysian Grand Prix cancelled over coronavirus restrictions,October's Malaysian MotoGP Grand Prix in Sepang is cancelled because of ongoing coronavirus restrictions.,19 August 2021,Sport,Motorsport
1MDB: Malaysia drops charges against Wolf of Wall Street producer,"Riza Aziz, producer of the Wolf of Wall Street, was caught up in the 1MDB state fund scandal.",14 May 2020,News,Asia
Malaysian singer dies of Covid days after giving birth,"Siti Sarah Raisuddin never got to hold her newborn son, who was delivered via a three-hour surgery.",10 August 2021,News,Asia
Malaysia migrant raids 'to reduce Covid-19 spread',Police in protective suits detained hundreds of undocumented people in Kuala Lumpur.,2 May 2020,News,Asia
How Malaysiaâs government collapsed in two years,Malaysia's ruling alliance - once celebrated as a force for historic change - has collapsed. Why?,5 March 2020,News,Asia
"Malaysia gets new PM, Muhyiddin Yassin, after week of turmoil",Muhyiddin Yassin has been sworn in after the unexpected resignation of 94-year-old Mahathir Mohamad.,1 March 2020,News,Asia
Fireball meteor lights up night sky over Malaysia,"A dashcam captures the moment a meteor illuminates the night sky in Johor Bahru, Malaysia.",21 February 2020,News,Asia
Malaysians in Covid lockdown fly white flags to ask for help,The #benderaputih campaign is aimed at giving lower income families a way to signal that they need aid.,5 July 2021,News,Asia
Ireland women move training camp from Malaysia because of coronavirus concerns,The Olympics-bound Ireland women's hockey squad's planned training camp in Malaysia is cancelled because of coronavirus concerns.,6 February 2020,Sport,Hockey
The Documentary Podcast: Polygamous marriage in modern Malaysia,"All sorts of Muslims, some very dynamic and modern, are embracing polygamy in Malaysia",4 February 2020,Programmes,BBC World Service
The Documentary: Shifting Cultures: Polygamous marriage in modern Malaysia,"All sorts of Muslims, some very dynamic and modern, are embracing polygamy in Malaysia.",1 February 2020,Programmes,BBC World Service
Malaysian casino giant Genting makes $4.3bn bet on Las Vegas,The opening in the US gambling capital comes as the tourism industry has been hit by the pandemic.,24 June 2021,News,Business
Malaysia returns 42 containers of 'illegal' plastic waste to UK,"Malaysia will not become ""the garbage dump of the world"", says the country's environment minister.",20 January 2020,News,UK
Nora Quoirin: Parents determined to find answers over Malaysia death,Nora Quoirin's family say that many serious questions remain about her disappearance.,17 December 2019,News,London
Pakistan women v England (in Malaysia) 2019,"Results and scorecards from England women's limited-overs series against Pakistan in Malaysia, featuring three ICC Women's Championship ODIs and three Twenty20s.",13 November 2019,Sport,Women's Cricket
Malaysia's straight edge punk scene,"Khai Aziz, lead singer of Second Combat, doesn't need drink or drugs to set a stage alight.",30 November 2019,News,Entertainment & Arts
Inside Malaysia's straight edge punk scene,"Khai Aziz, lead singer of Second Combat, says convincing people of his no-drink, no-drugs lifestyle is challenging.",29 November 2019,News,Entertainment & Arts
Malaysia grants reprieve to Australian 'love scam' drug mule,Maria Exposto says she was tricked into transporting drugs after falling for an online romance scam.,26 November 2019,News,Australia
Malaysia's last known Sumatran rhino dies,"The species is now extinct in Malaysia, with fewer than 100 animals believed to exist elsewhere.",23 November 2019,News,Asia
Mujahid Yusof Rawa: Malaysia needs a new narrative of Islam,"Malaysia's Minister for Islamic affairs says his government is proposing ""compassionate Islamâ.",13 November 2019,News,Asia
Pakistan v England: Sarah Glenn handed first call-up for Malaysia tour,England call up leg-spinner Sarah Glenn for the first time for their limited-overs series against Pakistan in Malaysia.,13 November 2019,Sport,Women's Cricket
HARDtalk: Minister for Islamic Affairs in Malaysia -Mujahid Yusof Rawa,Are racial and religious divides threatening Malaysiaâs stability and future prospects?,13 November 2019,Programmes,BBC World Service
'I woke up to thousands of messages from Malaysia',Why a Malaysian exam question thrust the spotlight on London-based paraglider Laura Melissa Williams.,12 November 2019,News,Technology
Hockey: GB men qualify for Olympics after thrashing Malaysia,"Watch highlights as the Great Britain's men secure a place at Tokyo 2020 after they thrash Malaysia 5-2, winning the tie 9-3 on aggregate at Lee Valley.",3 November 2019,Sport,Hockey
Hockey: GB men produce brilliant comeback to beat Malaysia,Watch as Great Britain's men produce a brilliant comeback against Malaysia to win 4-1 in the the first leg of their Olympic qualifying play-offs at Lee Valley.,2 November 2019,Sport,Hockey
The Outlook Podcast Archive: The rebel lawyer transforming Malaysia,Cecil Rajendra set up the first legal aid clinics in shacks,1 November 2019,Programmes,BBC World Service
Outlook: The rebel lawyer transforming Malaysia,Cecil Rajendra set up the first legal aid clinics in shacks,31 October 2019,Programmes,BBC World Service
Darren Lok: The phone call that turned non-league player into Malaysia international,How Darren Lok went from non-league football and work in a psychiatric hospital to a more glamorous lifestyle in Malaysia.,8 October 2019,Sport,Football
Plastic waste: Milton Keynes Council cleared after Malaysia waste find,Milton Keynes Council ordered an independent audit after its recycling sacks were found in Malaysia.,20 September 2019,News,"Beds, Herts & Bucks"
Jennifer Lopez stripper film Hustlers banned in Malaysia,"The country's film censorship board decrees that Hustlers is ""not suitable for public screening"".",20 September 2019,News,Entertainment & Arts
Malaysia queen denounces arrest of online critics,The Raja Permaisuri Agong briefly returned to Twitter to urge police not to detain anyone else.,14 September 2019,News,Asia
Rainforest fires trigger smog alerts in Indonesia and Malaysia,Indonesia and Malaysia issue severe smog alerts as fires rage in large sections of their rainforests.,13 September 2019,News,Asia
"Olympic hockey qualifiers: Great Britain women face Chile, men draw Malaysia",Great Britain's women face Chile for the right to defend their Olympic title in Tokyo next year while the men play Malaysia.,9 September 2019,Sport,Hockey
Najib Razak 1MDB: Malaysia's former PM faces biggest trial yet,Najib Razak is accused of funding a lavish lifestyle by plundering millions from a state fund.,28 August 2019,News,Asia
Najib Razak : Ex-Malaysia PM's second fraud trial begins,Najib Razak faces charges over an alleged multibillion-dollar fraud involving the state fund 1MDB.,28 August 2019,News,Asia
Nora Quoirin: Family 'heartbroken' after body found in Malaysia,Nora Quoirin's body was found beside a stream just over a mile from the resort where she was staying.,14 August 2019,News,London
Nora Quoirin: Body found in Malaysia is missing girl,Police say Nora Quoirin's parents identified a body found in the jungle as their missing daughter.,13 August 2019,News,London
Missing Nora Quoirin: Malaysia police say a body has been found nearby,Malaysia authorities are yet to confirm whether it is 15-year-old Nora Quoirin. The body was described as a female with white skin.,13 August 2019,News,World
The mystery of screaming schoolgirls in Malaysia,"When panic gripped a school one day, the girls affected did not know they were in the ""mass hysteria capital of the world"".",11 August 2019,News,Asia
Missing Nora Quoirin's mother Meabh thanks search teams in Malaysia,"The mother of teenager Nora Quoirin, who has gone missing in Malaysia, thanks search teams for their help.",10 August 2019,News,UK
Goldman bosses charged in Malaysia bond scandal,Malaysia charges 17 current and former Goldman Sachs executives over the 1MDB corruption scandal.,9 August 2019,News,Business
Missing Nora Quoirin: Malaysia police 'rule nothing out' in search,"Nora Quoirin's grandfather says her disappearance on holiday in Malaysia is ""extremely mysterious"".",7 August 2019,News,London
Nora Quoirin: Family say teen missing in Malaysia was abducted,"Malaysian police searching for Nora Quoirin, 15, have extended their search to areas of tropical forest.",6 August 2019,News,London
Nora Quoirin: Malaysia jungle search for holiday teen,"Nora Quoirin, 15, who has learning difficulties, went missing while with her family in Malaysia.",5 August 2019,News,London
"London girl Nora Quoirin, 15, vanishes on Malaysia holiday","Nora Quoirin's parents awoke to find her missing from her hotel room, with the window open.",4 August 2019,News,London
Four Nations: Phil Roper earns England draw with Malaysia,A late Phil Roper strike helps England draw 3-3 with Malaysia in their final Four Nations match.,4 August 2019,Sport,Hockey
CÃ©sar Pelli: Architect of Malaysia's Petronas Towers dies at 92,CÃ©sar Pelli designed some of the world's most famous buildings including London's Canary Wharf Tower.,20 July 2019,News,US & Canada
Wolf of Wall Street producer arrested in Malaysia for money laundering,Riza Aziz has been accused of using stolen funds to finance the film starring Leonardo DiCaprio.,4 July 2019,News,Asia
Malaysia seizes thousands of smuggled turtles at airport,Two Indian men are in custody after thousands of red-eared sliders are discovered in their luggage.,26 June 2019,News,Asia
Thousands of turtles seized at Malaysia airport,"Two Indian men are in custody after officials find 5,255 baby turtles in baskets inside their luggage.",26 June 2019,News,Asia
Malaysia air pollution: Schools shut after illness hits children,"The same part of Malaysia was hit by toxic air pollution in March, making more than 4,000 people ill.",25 June 2019,News,Asia
MH17 crash: Malaysia PM Mahathir denounces murder charges,Mahathir Mohamad criticises the charging of three Russians over the downing of the Malaysian plane.,20 June 2019,News,Europe
Plastic waste: Milton Keynes Council launches probe after Malaysia find,Milton Keynes Council orders an independent audit after its waste was found in Malaysia.,10 June 2019,News,"Beds, Herts & Bucks"
Hugh Fearnley-Whittingstall finds UK plastic waste abandoned in Malaysia,"At a recently closed recycling plant in Malaysia, Hugh Fearnley-Whittingstall finds piles of abandoned UK plastics.",10 June 2019,News,Science & Environment
Ireland start FIH Series with victory over Malaysia,Goals from Bethany Barr and Katie Mullan help Ireland to a 2-1 win over Malaysia in their FIH Series finals opener at Banbridge.,8 June 2019,Sport,Hockey
FIH Hockey Series: Irish beat Malaysia in Banbridge opener,Ireland make a winning start to the FIH Hockey series with the hosts clinching a 2-1 victory over Malaysia on Saturday.,8 June 2019,Sport,Hockey
Watch: FIH Women's Hockey Series finals - Ireland v Malaysia,"Live coverage of hosts Ireland against Malaysia in the FIH Women's Hockey Series finals from Havelock Park, Banbridge.",8 June 2019,Sport,Hockey
Beyond Today: Why is Malaysia sending our rubbish back?,Recycling from the UK is piling up in South East Asia.,30 May 2019,Programmes,BBC Radio 4
Malaysia bans 'recycled' waste,The country's government says it has become a dumping ground for plastic waste from wealthier nations.,28 May 2019,News,Asia
Malaysia orders tonnes of imported waste to be returned,The country's government says it has become a dumping ground for wealthier nations.,28 May 2019,News,Asia
Last male Sumatran rhino in Malaysia dies,"The future of the critically endangered Sumatran rhino has been struck a blow, with the death of Malaysia's last male.",28 May 2019,News,Science & Environment
1MDB: US to return $200m in funds to Malaysia as part of probe,US authorities have begun transferring millions of dollars allegedly misappropriated from state fund 1MDB.,7 May 2019,News,Business
World Para-swimming Championships: London to host after Malaysia stripped of event,London will host the rearranged 2019 World Para-swimming Championships from 9-15 September.,15 April 2019,Sport,Disability Sport
Malaysia Open badminton: England's Smith and Ellis lose in quarter-finals,English mixed doubles pair Lauren Smith and Marcus Ellis are defeated in the quarter-finals of the Malaysia Open.,5 April 2019,Sport,Badminton
South Korea's Lee Nam-young scores in final of the Azlan Shah Cup in Malaysia,South Korea's captain Lee Nam-young scores an outrageous lob to beat India in a shootout in the final of the Azlan Shah Cup in Malaysia.,5 April 2019,Sport,Hockey
Malaysia Open badminton: England's Ellis and Smith seek first semi-final spot,English mixed doubles pair Marcus Ellis and Lauren Smith reach the quarter-finals of the Malaysia Open.,4 April 2019,Sport,Badminton
Business Matters: Malaysia: ex-PM faces court in global financial scandal,Najib Razak is on trial over charges relating to the 1MDB wealth fund,4 April 2019,Programmes,BBC World Service
Najib 1MDB trial: Malaysia ex-PM faces court in global financial scandal,Malaysia's Najib Razak pleads not guilty in his first trial connected to the 1MDB financial scandal.,3 April 2019,News,Asia
Newsday: Malaysia: former Prime Minister Najib Razak goes on trial,He is accused of stealing hundreds of millions of dollars,3 April 2019,Programmes,BBC World Service
Kim Jong-nam murder: Malaysia rejects suspect's release plea,"Vietnam had asked Malaysia to free Doan Thi Huong, who is on trial for killing Kim Jong-un's brother.",14 March 2019,News,Asia
Malaysia plastic pollution: 'We saved our town from your Western rubbish',"When a Malaysian town was inundated with foreign plastic waste, a group of villagers decided to fight back.",13 February 2019,News,Asia
Lowestoft oil worker's injuries on ship off Malaysia 'non-survivable',An inquest hears 46-year-old Jeremy Sutch was crushed by machinery on a drillship.,12 February 2019,News,Suffolk
'Competent' oil worker crushed by machine on ship off Malaysia,"An inquest hears 46-year-old Jeremy Sutch died after a ""protracted"" evacuation from a drillship.",11 February 2019,News,Suffolk
Russians detained over baby swinging street act in Malaysia,The street act in Malaysia saw a man swinging the baby by the feet and throwing it into the air.,5 February 2019,News,Asia
Sultan Abdullah crowned Malaysia's new king,Sultan Abdullah Sultan Ahmad Shah is sworn in as Malaysia's new king after a surprise abdication.,31 January 2019,News,Asia
World Para Swimming Championships: Malaysia stripped of hosting 2019 event,"Malaysia is stripped of hosting the 2019 World Para Swimming Championships for refusing to let Israeli athletes compete, says the IPC.",27 January 2019,Sport,Disability Sport
Malaysia elects new king after unprecedented abdication,"The previous king unexpectedly stepped away from the throne in January, a first in Malaysian history.",24 January 2019,News,Asia
Malaysia defends ban on Israeli Paralympic athletes,Malaysia's Youth and Sport's minister on banning Israeli swimmers from a Paralympic event.,23 January 2019,News,Asia
HARDtalk: Malaysia's Minister for Youth and Sport - Syed Saddiq,Can Asia's youngest minister force change in a country run by the world's oldest PM?,23 January 2019,Programmes,BBC World Service
Malaysia revises 'victim-shaming' school text book,The book for nine-year-olds said girls face rejection and shame if they don't protect their modesty.,16 January 2019,News,Asia
Malaysia king: Sultan Muhammad V abdicates in historic first,Muhammad V is the first monarch to step away from the throne since the country gained independence.,6 January 2019,News,Asia
1MDB: Malaysia charges Goldman Sachs and two bankers,The bank and former employees are charged following an investigation of Malaysian state fund 1MDB.,17 December 2018,News,Business
Syrian man stranded in Malaysia airport arrives in Canada,Hassan al-Kontar spent months living in Kuala Lumpur airport before being granted asylum in Canada.,26 November 2018,News,US & Canada
Medical cannabis: Death sentence prompts Malaysia to re-think harsh laws,A death sentence for a young man selling cannabis oil prompts Malaysia to reflect on its drug laws.,12 November 2018,News,Asia
From Our Own Correspondent: Malaysia and Mexico,Personal stories from the BBC's Jennifer Pak in Kuala Lumpur and Will Grant in Mexico City,12 November 2018,Programmes,BBC World Service
From Our Own Correspondent: Syria and Malaysia,Pascale Harter with personal stories from BBC correspondents Orla Guerin and Jennifer Pak,12 November 2018,Programmes,BBC World Service
World Have Your Say: WHYS 30: Malaysia's internet black-out day,Activists and bloggers are holding an internet black-out day in Malaysia.,12 November 2018,Programmes,BBC World Service
From Our Own Correspondent: Honduras and Malaysia,Pascale Harter introduces insights from BBC correspondents Stephen Sackur and Jennifer Pak,12 November 2018,Programmes,BBC World Service
MotoGP: Marc Marquez wins in Malaysia after Valentino Rossi crashes,World champion Marc Marquez wins his ninth race of the MotoGP season after Valentino Rossi crashes at the Malaysian Grand Prix.,4 November 2018,Sport,Motorsport
From Our Own Correspondent: North Korea and Malaysia,"Stories from North Korea, Malaysia and Singapore, presented by Pascale Harter.",4 November 2018,Programmes,BBC World Service
"From Our Own Correspondent: Malaysia, the USA and Zimbabwe",Personal stories and reflections from BBC correspondents Jennifer Pak and Roger Harrabin.,4 November 2018,Programmes,BBC World Service
A bitter winter in Afghanistan: Malaysia and Macedonia,With stories from BBC correspondents Jennifer Pak in Kuala Lumpur and Mark Lowen in Skopje,4 November 2018,Programmes,BBC World Service
From Our Own Correspondent: Italy and Malaysia,Owen Bennett Jones presents stories from BBC correspondents David Willey and Jennifer Pak.,4 November 2018,Programmes,BBC World Service
From Our Own Correspondent: Malaysia and Hungary,Jennifer Pak explores a religious controversy in Malaysia,4 November 2018,Programmes,BBC World Service
Wife charged with murder of ex firefighter in Malaysia,"Samantha Jones, 51, was arrested after her husband, a former Somerset firefighter, was found stabbed.",31 October 2018,News,Somerset
NÃ³ra Quoirin: 'Misadventure' verdict for girl found in Malaysian jungle,NÃ³ra Quoirin's family say they are disappointed at the ruling and still think she was abducted.,4 January 2021,News,London
NÃ³ra Quoirin death: The schoolgirl who vanished into a Malaysian jungle,NÃ³ra Quoirin was found naked next to a stream 10 days after arriving for a family holiday.,4 January 2021,News,London
Six rescue divers drown trying to save teen in Malaysia,The six men were searching for a teenager thought to have fallen into a mining pool in Malaysia.,4 October 2018,News,Asia
"HARDtalk: Mahathir Mohamad, Prime Minister of Malaysia",The world's oldest head of government speaks to Zeinab Badawi,3 October 2018,Programmes,BBC World Service
