0,1,2,3
"Isham asked for Umno to take action against him to boost his popularity, said Supreme Council member [NSTTV]","KUALA LUMPUR: Isham Jalil is asking for the action to be brought against him as a means to boost himself, said Umno Supreme Council Datuk Mohd Razlan Rafii.",2023-12-06,Politics
"Umno MPs and assemblymen stand firm in support of Anwar, unity govt",KUALA LUMPUR: Umno will continue to strengthen and uphold the unity government.,2023-12-06,Politics
Isham Jalil sacked from Umno?,"KUALA LUMPUR: Is Umno Supreme Council member Isham Jalil still an Umno member, or has he been sacked from the Malay party?",2023-12-06,Politics
Umno leaders gather at Menara Dato Onn for Supreme Council meeting,KUALA LUMPUR: Several Umno leaders have arrived at Menara Dato Onn here tonight ahead of its Supreme Council Meeting.,2023-12-06,Politics
Perak PKR veep keeps mum on three opposition assemblyman supporting Saarani,IPOH: Perak PKR vice-chairman Muhamad Arafat Varisai Mahamad today refused to unveil the names of three opposition assemblymen whom he claimed to have voiced their support for the state government. ,2023-12-06,Politics
Perak PKR veep keeps mum on three opposition assemblyman supporting Saarani,IPOH: Perak PKR vice-chairman Muhamad Arafat Varisai Mahamad today refused to unveil the names of three opposition assemblymen whom he claimed to have voiced their support for the state government. ,2023-12-06,Politics
No impact on Pas if Umno refuses to cooperate - Tuan Ibrahim,"KOTA BARU: Datuk Seri Tuan Ibrahim Tuan Man said the statements from Umno president, declaring non-cooperation with Pas, will not pose any issue for the Islamic party.",2023-12-06,Politics
'Why should I follow his orders and show my face at his turf?',KUALA LUMPUR: Umno supreme council member Isham Jalil has stood firm in his stance to not attend any meetings carried out by the party as long as it continues to work with DAP. ,2023-12-06,Politics
"Umno Supreme Council meeting to address Kemaman-by election defeat, possible cabinet reshuffle?","KUALA LUMPUR: Umno Supreme Council meeting is set to convene tonight, with sources indicating that the recent defeat in the Kemaman by-election is high on the agenda.",2023-12-06,Politics
Zahid tells Isham Jalil to attend Umno supreme council meeting tonight,PUTRAJAYA: Datuk Seri Dr Ahmad Zahid Hamid has challenged Umno Supreme Council member Isham Jalil to attend the party’s supreme council meeting tonight for the latter to air his grouses on the cooperation between the party and DAP.,2023-12-06,Politics
"No more room for Umno-Pas political cooperation, says Puad Zarkashi",KUALA LUMPUR: An Umno Supreme Council member has poured cold water on a possibility of the party rekindling its political cooperation with Pas.,2023-12-06,Politics
Umno-BN's defeat in Kemaman by-election blamed on alleged deviation and alignment with DAP,KUALA LUMPUR: The loss of Umno-Barisan Nasional in the Kemaman by-election is due to some Umno members who are lackeys of DAP.,2023-12-05,Politics
'The Hulu Kinta assemblyman should not practice cheap politics',IPOH:  Perak PKR vice-chairman Muhamad Arafat Varisai Mahamad has been challenged to reveal the names of three opposition assemblymen who voiced their support for the state government.,2023-12-05,Politics
"PM: Samsuri a moderate leader, unlike 'more extremist' Pas colleagues",PUTRAJAYA: Datuk Seri Anwar Ibrahim hopes that Datuk Seri Dr Ahmad Samsuri Mokhtar’s victory in the Kemaman parliamentary by-election in Terengganu will  cool down the political temperature in the country.,2023-12-05,Politics
Pas sec-gen fires back at DAP advisor: Focus on your own turf,KUALA LUMPUR: Pas secretary-general Datuk Seri Takiyuddin Hassan today said DAP's Tan Sri Lim Kit Siang should focus on his own coalition matters instead of meddling in other people's affairs.,2023-12-05,Politics
Kampar MP lodges report against Sanusi over Buddha statue remarks,"IPOH: Kampar member of Parliament Chong Zhemin today lodged a police report against Kedah Menteri Besar Datuk Seri Muhammad Sanusi Md Noor over his seditious remarks on Tourism, Arts and Culture Minister Datuk Seri Tiong King Sing. ",2023-12-04,Politics
Perak RKR vice chairman claims 3 opposition assemblymen support state govt,IPOH: At least three opposition state assemblymen have allegedly thrown their support for the state government under the leadership of Datuk Seri Saarani Mohamad. ,2023-12-04,Politics
Dr M: Umno will be destroyed in GE16,KUALA LUMPUR: Former prime minister Tun Dr Mahathir Mohamed believes the latest Kemaman by-election result signals the end of Umno in the next 16th General Election (GE16). ,2023-12-04,Politics
Fahmi believes Pas aiming for opposition leader's role,KUALA LUMPUR: Unity government spokesman Fahmi Fadzil believes that Pas is gunning for the opposition leader's role following its victory at the Kemaman by-election.,2023-12-04,Politics
"'I, myself didn't know that I will be doing that (stepping down)' - Zahid",PUTRAJAYA: Deputy Prime Minister Datuk Seri Dr Ahmad Zahid Hamidi has denied rumours that he will be stepping down from his post due to health reasons.,2023-12-04,Politics
'Watch your mouth if you are serious about attracting tourists to Kedah': Tiong to Sanusi,"PUTRAJAYA: Tourism, Arts, and Culture Minister Datuk Seri Tiong King Sing advised Kedah Menteri Besar Datuk Seri Muhammad Sanusi Md Nor to watch his mouth if he is serious about bringing more tourists to visit the state.",2023-12-04,Politics
"Pas victory in Kemaman does not signify rejection towards unity government, says Saifuddin",PUTRAJAYA: The decisive victory of Pas with a large majority in the recent Kemaman by-election last Saturday is not indicative of the people's rejection of the unity government.,2023-12-04,Politics
"Kemaman by-election loss: Decrease in Umno loyal voters, says Zahid","PUTRAJAYA: The Kemaman parliamentary by-election loss by Barisan Nasional (BN) is not attributed to the rise of Pas supporters, BN chairman Datuk Seri Dr Ahmad Zahid Hamidi said today. ",2023-12-04,Politics
Amizar sworn in as Pelangai assemblyman,KUANTAN: Newly-elected Pelangai assemblyman Datuk Amizar Abu Adam took his oath of office at the 15th Pahang State Legislative Assembly sitting here today.,2023-12-04,Politics
Kemaman by-election: Winning in one's own stronghold is not extraordinary - Muhammad Kamil,"KUALA LUMPUR: Terengganu Menteri Besar Datuk Seri Dr Ahmad Samsuri Mokhtar’s success in winning the Kemaman Parliamentary seat,  which is a Pas stronghold, is not extraordinary, said the Political Secretary to the Finance Minister, Muhammad Kamil Abdul Munim.",2023-12-04,Politics
Kemaman by-election: Winning in one's own stronghold is not extraordinary - Muhammad Kamil,"KUALA LUMPUR: Terengganu Menteri Besar Datuk Seri Dr Ahmad Samsuri Mokhtar’s success in winning the Kemaman Parliamentary seat,  which is a Pas stronghold, is not extraordinary, said the Political Secretary to the Finance Minister, Muhammad Kamil Abdul Munim.",2023-12-04,Politics
"Pas now has genuine PM candidate, say analysts","KUALA LUMPUR:  Political analysts believe Pas has finally found   a prime ministerial candidate in the form of Datuk Seri Dr Ahmad Samsuri Mokhtar, who successfully won  by a bigger margin  against the unity government candidate in the Kemaman by-election on Saturday. ",2023-12-04,Politics
Analyst: Pas reused same formula to defeat BN in Kemaman by-election,"KUALA LUMPUR: Pas recycled the same tried and tested formula it used in the 15th General Election (GE15) for the Kemaman by-election held yesterday, resulting in a bigger margin win against Barisan Nasional (BN). ",2023-12-03,Politics
Sabah DAP confident Anwar's leadership will provide greater resources for the state,KOTA KINABALU: Sabah DAP has adopted several motions including to extend full support to the unity government led by Prime Minister Datuk Seri Anwar Ibrahim.    ,2023-12-03,Politics
Umno scrutinises heavy defeat in Kemaman by-election,KUALA LUMPUR: Umno Supreme Council will be scrutinising Barisan Nasional's heavy defeat to Perikatan Nasional in the Kemaman by-election held yesterday. ,2023-12-03,Politics
MA63: Sabah Umno proposes a roundtable secretariat for in-depth discussions on state's 40pct net revenue,"KOTA KINABALU: Sabah Umno has proposed the establishment of a ""Roundtable Secretariat"" for all parties in the state to discuss issues related to the 40 per cent net revenue in the Malaysia Agreement 1963 (MA63).",2023-12-03,Politics
"Unity govt not worried with Pas' victory in Kemaman, says Fahmi Fadzil","KUALA LUMPUR: The unity government is not worried about Pas’ victory in yesterday’s Kemaman parliamentary by-election, said Minister of Communications and Digital Fahmi Fadzil. ",2023-12-03,Politics
Takiyuddin: Kemaman by-election is people's referendum on PH-BN,"KUALA LUMPUR: The outcome of the Kemaman by-election, which saw Terengganu Menteri Besar Datuk Seri Dr Ahmad Samsuri Mokhtar clinching the seat, has confirmed the upward momentum of people's support for Perikatan Nasional. ",2023-12-03,Politics
Fahmi: Govt expects Dr Samsuri as next opposition leader,KUALA LUMPUR: The government anticipates a change in the figure of the opposition leader in parliament following the victory achieved by Datuk Seri Dr Ahmad Samsuri Mokhtar yesterday.,2023-12-03,Politics
Kemaman by-election: Pas' dominant win signals Terengganu voters rejection of opposition rep,"KEMAMAN: Pas' landslide victory in the Kemaman by-election might be perceived as a signal from Terengganu voters rejecting opposition representative in the state, Datuk Seri Dr Ahmad Samsuri Mokhtar said.",2023-12-03,Politics
"Ahmad Samsuri says open to future PM role, to focus on parliamentary responsibilities",KEMAMAN: Newly-elected Kemaman member of parliament Datuk Seri Dr Ahmad Samsuri Mokhtar has expressed a willingness to consider the prospect of becoming Malaysia's prime minister in the future.,2023-12-03,Politics
Ahmad Samsuri thanks voters; Hadi attributes win to people's rejection of unity govt,KUALA LUMPUR: The newly-emerged winner of the Kemaman parliamentary seat by-election Datuk Seri Dr Ahmad Samsuri Mokhtar has thanked those who were involved in the by-election.,2023-12-02,Politics
"Do not be arrogant with your winning, and do not despair when you lose- Asyraf Wajdi",KUALA LUMPUR: Umno secretary-general Datuk Dr Asyraf Wajdi Dusuki has thanked loyal Barisan Nasional (BN) voters for still believing in the coalition's struggle. ,2023-12-02,Politics
"Official results: PN retains Kemaman with 37,220 majority [NSTTV]",KEMAMAN: Perikatan Nasional (PN) continues its dominance in Terengganu after Pas candidate Datuk Seri Dr Ahmad Samsuri Mokhtar won the Kemaman parliamentary seat by-election today.,2023-12-02,Politics
Unofficial results : Pas set for another landslide victory in Kemaman,KEMAMAN: Pas appears to be heading for another whopping majority victory in the Kemaman parliamentary seat by-election today. ,2023-12-02,Politics
Unofficial result: PN's Ahmad Samsuri holds significant lead in Kemaman parliamentary seat battle,KEMAMAN: Unofficial results showed Perikatan Nasional's Datuk Seri Dr Ahmad Samsuri Mokhtar is leading the battle in the Kemaman parliamentary seat by-election.,2023-12-02,Politics
Ampang to Kemaman: Voter's four-hour drive ends in disappointment as polls close,KEMAMAN: A technician who undertook a four-hour journey from Kuala Lumpur to participate in the Kemaman by-election was left disappointed as he missed the opportunity to cast his ballot.,2023-12-02,Politics
"Kemaman by-election: Polling ends at 6pm, vote counting begins","KEMAMAN: Polling for the Kemaman parliamentary seat, which commenced at 8am today, has officially ended, with all 49 polling centres in the constituency closing their doors at 6pm.",2023-12-02,Politics
Kemaman by-election: Voter turnout reaches 60 per cent at 4pm,"KEMAMAN: The voter turnout for the Kemaman parliamentary seat by-election continues to rise, reaching 60 per cent as of 4pm today.",2023-12-02,Politics
Wan Fayhsal: Claims surrounding govt MPs switching camp to PN not true,"KUALA LUMPUR: A Parti Pribumi Bersatu Malaysia (Bersatu) leader has denied claims made by its Supreme Leadership Council member Datuk Seri Mohd Redzuan Md Yusof that 10 members of parliament (MP) from the government bloc are set to switch their support for Perikatan Nasional (PN), subsequently forming a new government.",2023-12-02,Politics
Wan Fayhsal: Claims surrounding govt MPs switching camp to PN not true,"KUALA LUMPUR: A Parti Pribumi Bersatu Malaysia (Bersatu) leader has denied claims made by its Supreme Leadership Council member Datuk Seri Mohd Redzuan Md Yusof that 10 members of parliament (MP) from the government bloc are set to switch their support for Perikatan Nasional (PN), subsequently forming a new government.",2023-12-02,Politics
Kemaman by-election: EC conducting trial run for new digital system,KEMAMAN: The Election Commission(EC) has deployed a new digital method to help improve the country's electoral system in the Kemaman parliamentary seat by-election.,2023-12-02,Politics
BN candidate urges Kemaman voters to cast their ballots tomorrow,CHUKAI: The Barisan Nasional (BN) candidate in the Kemaman parliamentary by-election has asked voters to go out in full force to cast their ballots tomorrow (December 2).,2023-12-01,Politics
Kemaman by-election: Pas in the driver's seat but all eyes on BN's direct candidate,"KEMAMAN: Five years ago, Barisan Nasional pulled off a masterstroke when it named former police officer Datuk Ramli Mohd Nor as the coalition's direct candidate for the Cameron Highlands parliamentary seat by-election.",2023-12-01,Politics
Kemaman by-election: Dr Sam casually stops at BN operations centre in Kemaman,"KEMAMAN: Just hours before the Kemaman parliamentary seat by-election campaigning period ends, Perikatan Nasional candidate Datuk Seri Dr Ahmad Samsuri Mokhtar did what probably no political contender has ever done.",2023-12-01,Politics
Kemaman by-election: BN candidate's schedule packed on final day while PN rep focuses on 'grand finale',KEMAMAN: A lukewarm atmosphere is being felt across the Kemaman parliamentary constituency after two weeks of campaigning which is in its last day today.,2023-12-01,Politics
Kemaman by-election: Pas' Dr Sam 'prime minister' material,"KEMAMAN: Pas, the party with the most number of members of parliament in the Perikatan Nasional (PN) coalition, may have finally found the missing jigsaw piece to steer the party to greater heights.",2023-11-30,Politics
Kemaman by-election: Boost for security matters if ex-Defence Force Chief is in Lower House,CHUKAI: The prospect of a former distinguished military officer being elected to the Lower House offers a valuable opportunity to enhance the legislative arm with expert insights into national security and defence matters.,2023-11-30,Politics
Sanusi: I have no ambition to be the PM [NSTTV],ALOR STAR: Kedah Menteri Besar Datuk Seri Muhammad Sanusi Md Nor said he has never set a target or even dream of becoming the prime minister. ,2023-11-30,Politics
"Political appointees have no business meddling in govt administrative affairs, says Sanusi",ALOR STAR: Datuk Seri Muhammad Sanusi Md Nor has reminded political appointees in the federal government that they have no business meddling in government administrative affairs.,2023-11-30,Politics
Kemaman by-election: Terengganu needs an opposition elected rep or Pas will become superior,"KEMAMAN: Although Pas appears to be the clear favourite to retain the Kemaman parliamentary seat in Saturday’s by-election here, some voters are not in favour of allowing the party to have complete dominance across Terengganu.",2023-11-30,Politics
Kemaman by-election: Constituency will be govt's 'golden child' if BN's candidate secures victory- Shabery Cheek,KEMAMAN: The Kemaman parliamentary constituency will become the unity government's “golden child” if the voters here are daring enough to make changes on Dec 2.,2023-11-30,Politics
"'Follow the rules when you are in my House,' says Speaker Johari [NSTTV]",KUALA LUMPUR: Dewan Rakyat Speaker Tan Sri Johari Abdul today warned both government and opposition lawmakers to follow the House rules and submit a motion if they are unsatisfied with answers provided by ministries during question time. ,2023-11-30,Politics
Affandi will not be an ordinary MP if he wins in Kemaman - Anwar,KEMAMAN: Prime Minister Datuk Seri Anwar Ibrahim has hinted at the possibility of Gen (Rtd) Tan Sri Raja Mohamed Affandi Raja Mohamed Noor being handed a 'bigger role' should the Barisan Nasional candidate win the Kemaman by-election on Dec 2.,2023-11-30,Politics
Kemaman by-election: Hacking of BN candidate's FB account a desperate move - Ahmad Said,CHUKAI: The hacking of Barisan Nasional (BN) candidate General (B) Tan Sri Raja Mohamed Affandi Raja Mohamed Noor's Facebook account is viewed as a desperate attempt by some to weaken voters' support in the Kemaman by-election (PRK). ,2023-11-29,Politics
BN candidate in final push to meet with voters in Kemaman by-election,"CHUKAI: Barisan Nasional candidate for the Kemaman by-election is making his final push to meet and win over voters, especially the youth in the last three days of campaigning.",2023-11-29,Politics
"Kemaman by-election: Voters excited over Dr Sam as potential prime minister, says Terengganu exco",KEMAMAN: Talks on the possibility of Perikatan Nasional (PN) candidate Datuk Seri Dr Ahmad Samsuri Mokhtar leading the country in the future has put him in the driver's seat to retain the Kemaman parliamentary constituency by-election on Dec 2.,2023-11-29,Politics
"Kemaman by-election : Umno MPs will never pledge support for PN as claimed by Hadi, says party sec-gen",KEMAMAN: Umno members of parliament will never leave the party or switch their support towards Perikatan Nasional (PN) as claimed by Pas president Tan Sri Abdul Hadi Awang during the Kemaman by-election campaign last week.,2023-11-29,Politics
PKR Youth: Calling Anwar 'dajal' is seditious and a provocation,"JOHOR BARU: PKR Youth has lambasted a Bersatu leader for allegedly declaring Datuk Seri Anwar Ibrahim to be a “dajal” (false messiah), saying that this was a provocation to pit Malaysians against each other.",2023-11-29,Politics
Ahmad Shabery: Kemaman campaign shows lack of sincerity in Pas-Bersatu cooperation,"CHUKAI: The absence of the Pas candidate from the Kemaman by-election campaign rounds of Perikatan Nasional (PN) chairman Tan Sri Muhyiddin Yassin showed that Pas and Bersatu lack sincerity in their cooperation, said Barisan Nasional (BN) strategic communications director Datuk Seri Ahmad Shabery Cheek.",2023-11-28,Politics
Ahmad Shabery: Kemaman campaign shows lack of sincerity in Pas-Bersatu cooperation,"CHUKAI: The absence of the Pas candidate from the Kemaman by-election campaign rounds of Perikatan Nasional (PN) chairman Tan Sri Muhyiddin Yassin showed that Pas and Bersatu lack sincerity in their cooperation, said Barisan Nasional (BN) strategic communications director Datuk Seri Ahmad Shabery Cheek.",2023-11-28,Politics
"Bukit Gantang MP likely the last elected rep to back Anwar, says Saifuddin Abdullah",KUANTAN: Bukit Gantang member of parliament Datuk Syed Abu Hussin Hafiz Syed Abdul Fasal is likely the final Bersatu representative to pledge support for Prime Minister Datuk Seri Anwar Ibrahim and his unity government.,2023-11-28,Politics
"Sabah should learn from Sarawak's economic success, says Warisan man",KOTA KINABALU: The Sabah government should cease repeating the same mistakes when steering the state economy. ,2023-11-28,Politics
Kemaman by-election: Affandi deploys concentrated campaign strategy as polling day nears,"KEMAMAN: After travelling to almost every nook and corner of Kemaman to campaign for the by-election last week, General (Rtd) Tan Sri Raja Mohamed Affandi Raja Mohamed Noor has adopted a more concentrated approach this week.",2023-11-28,Politics
Early voting for three women in Kemaman,KIJAL: The three individuals people who cast early votes in the Kemaman by-election have completed their responsibilities at 10.56am today. ,2023-11-28,Politics
Kemaman by-election: Dr Sam's hectic schedule with current state assembly sitting and by-election campaign,KEMAMAN: The ongoing Terengganu state legislative assembly sitting in Kuala Terengganu till Nov 30 will not jeopardise Menteri Besar Datuk Seri Dr Ahmad Samsuri Mokhtar's campaign for the Kemaman parliamentary seat by-election on Dec 2.,2023-11-28,Politics
"Dr Sam has potential to lead country in future, says Muhyiddin",KEMAMAN: Perikatan Nasional (PN) chairman Tan Sri Muhyiddin Yassin is not ruling out the possibility of Terengganu menteri besar Datuk Seri Dr Ahmad Samsuri Mokhtar helming the country in the future.,2023-11-27,Politics
Fauzi: Selling state land for expenditure not the best move,"GEORGE TOWN: Selling state owned land to cover government expenditure is certainly not the best move, Penang State Legislative Assembly Opposition Leader Muhammad Fauzi Yusof told the state government today (November 27).",2023-11-27,Politics
"Sabah ex-Umno assemblyman belittles party, ticks off Bung",KOTA KINABALU: Sabah Umno chairman Datuk Seri Bung Mokhtar Radin was ticked off when an ex-Umno assemblyman belittled the party.,2023-11-27,Politics
Muda accuses PM of undermining democracy in allocation decision,KUALA LUMPUR: Muda has described the Prime Minister's declaration that funds allocated for constituents under the opposition instead be funneled directly to the people as undemocratic. ,2023-11-27,Politics
Bersatu info chief accuses BN of not being serious in Kemaman by-election,KUALA TERENGGANU: Barisan Nasional has been accused of contesting the Kemaman by-election merely to reduce Perikatan Nasional’s majority in the seat.,2023-11-27,Politics
Anwar needs to drop the deadwood in the Cabinet: Khairy,"KUALA LUMPUR: Prime Minister Datuk Seri Anwar Ibrahim has been urged to swiftly address the government's drift by undertaking a comprehensive Cabinet reshuffle, eliminating ineffective members. ",2023-11-27,Politics
Kemaman by-election: It's business as usual for campaign workers,"KEMAMAN: Come rain or shine, the Kemaman parliamentary seat by-election campaign goes on.",2023-11-27,Politics
"Kemaman by-election: Kemaman folks set for ""buy-one, free-one"" deal if they pick BN candidate",KEMAMAN: A Barisan Nasional (BN) victory in the Kemaman parliamentary seat by-election on Dec 2 will pave the way for the constituents to have two elected representatives to help champion their needs. ,2023-11-27,Politics
Retain victory in next GE to ensure people's agenda can continue: Nurul Izzah,"PUTRAJAYA: Unity government parties must maintain victory in the next General Election (GE) to ensure that the agenda planned for the good of the people can continue to be implemented, says PKR vice president Nurul Izzah Anwar.",2023-11-26,Politics
"Focus on work first, GE16 still far off: Loke","RAUB: DAP will focus on work and help to strengthen the country in terms of the economy and people’s prosperity instead of the 16th general election (GE16), says its secretary-general Anthony Loke Siew Fook.",2023-11-26,Politics
PM: Why do we need to allocate funds for MPs who insulted us? [NSTTV],"PUTRAJAYA: In a firm rebuke to federal lawmakers who had directed insults at the government, Prime Minister Datuk Seri Anwar Ibrahim declared that funds allocated for the constituents under the opposition would instead be funnelled directly to the people.",2023-11-26,Politics
Warisan open to cooperation with Umno in 17th Sabah state election,LABUAN: Parti Warisan has expressed its openness to forming a strategic alliance with Umno in the next Sabah state election.,2023-11-26,Politics
